MAJOR ---  DESCRIPTION ---  SALARY ---  MAJOR_CATEGORY
Athletic Training ---  Athletic training combines the love of sports medicine as well as the science of exercise. The study of athletic training can lead to a career as a certified athletic trainer. Athletic training is not the same thing as personal training. Certified athletic trainers work in universities, high schools, professional sports, clinics, hospitals, performing arts, the military and other settings. The majority of certified athletic trainers go on to pursue a graduate degree. Many of the schools featured offer a 3+2 (Bachelors + Masters Track) for an accelerated professional experience ---  49770
Biology ---  Biology is a field high in demand for many reasons, Due to its diverse nature, the biology graduate can go in many different directions after college. Most fields that biology graduates enter pay well and are constantly in high demand. If you are really serious about majoring in biology, the best step is to look for schools with state of the art laboratories and classrooms as well as healthy internship or co-op opportunities. There are also great student chapters of Professional Biological Associations to join in the biology field. Do so at your earliest chance as they will be a great source of career information, and lasting friendships. ---  78800
Chemistry ---  Chemistry is field that will track the student right into an amazing array of opportunities. Chemistry majors are highly sought after, and highly paid simply because it’s a challenging field with so many complex applications. Internships are a big part of this college major. Look at the CM101 Employer section to get a better understanding of what chemical companies’ do, the types of graduates they hire, and what life is like as a professional chemist. ---  78790
Fisheries and Wildlife Sci ---  The study of Fisheries and Wildlife Science as a college major is best suited for people who have an active interest in the outdoors and life sciences. "Fish Farming" is growing at a tremendous rate, with scores of job and management opportunities. The primary functions of Fishery and Wildlife Science majors include management of conservation areas, enforcement of conservation laws, control of the utilization of natural resources like fisheries, game and wild species managment. Students who genuinely love animals, and want a career woking in lush forests and pristine rivers, should consider this major seriously. ---  63200
Food Science ---  Food Science graduates are in high demand due to the unique nature of the major, and real world business need. In every grocery store, the shelves are lined with products that are unique, healthy, well packaged, and designed for millions to eat. The Food Scientist studies Biology, Chemistry, Business, Design and more. Food technology is the application of food science to the selection, preservation, processing, packaging, distribution, and use of safe food. The average staring salary in the industry is $50,000 and goes up from there. Many Food Science programs boast a 98% placement rate as Food Science is a highly specialized major. Food Scientists regularly partner with entrepreneurs and public health officials on product development and policy initiatives ---  65100
Forest & Resource Mgmt ---  Conservation scientists and foresters manage the use and development of forests, rangelands, and other natural resources. These lands supply wood products, livestock forage, minerals, and water. They serve as sites for recreational activities and provide habitats for wildlife. Some workers advise private landowners on the use and management of their land and may design and implement programs that make the land healthier and more productive. ---  62410
Marine Science ---  Marine Science also called Oceanography , is the branch of Earth science that studies the ocean. It covers a wide range of topics, including marine organisms and ecosystem dynamics ocean currents, waves, and geophysical fluid dynamics plate tectonics and the geology of the sea floor and fluxes of various chemical substances and physical properties within the ocean and across its boundaries. ---  71300
Nursing (RN/BSN) ---  Nursing is by one of the most stable and rewarding of all medical careers. Good nurses are always in high demand, and according to most salary websites make a salary range from $45,000–$85,000 per year on average. The training is hard, but when you’re done you will have a career that will be in demand anywhere in the country. Male nurses are the fastest growing segment in this field and the image of nursing as a women’s’ only field will change dramatically in the near future. Nursing is not for the weak or timid. Dedication is a must. ---  73300
Organic / Urban Farming ---  Organic and Urban Farming, often called "Sustainable Agriculture" has become a fast growing track for students who have a passion for ecology, business, health, and sustainability. The job outlook for agriculture grads has never been better. As technology enables farming to move to urban areas, and the public appetite for healthy food has grown, a whole new sector of the economy has been introduced. Many State Universities as well as Liberal Arts Colleges offer Majors in this area. If you want to take an abandonded city lot and turn it into a profitable community garden, THIS is the major for you! ---  71600
Pharmacy ---  Pharmacy programs use curriculum from Biology, Chemistry, Business, Technology, and others. Pharmacy is very popular with students who enjoy working both in the life sciences, and directly with the public. The newest emerging major in this field is called Pharmaceutical Sciences. This is more concerned with invention and manufacturing of pharmaceuticals, rather than being a track to being a PharmD (Pharmacist). CM101 features some 0-6 and 0-7 programs that track from entry as a freshman to a full PharmD. ---  128900
Physical Ther / Kinesiology ---  Physical Therapy, Kinesiology, and Exercise Science are closely related majors. All three are life sciences that usually lead the graduate to a career as a Doctor of Phyical therapy (DPT), Sports Medicine or "Allied Health" professions.  The study of these majors include biomechanics and orthopedics strength and conditioning sport psychology methods of rehabilitation, such as physical and occupational therapy, and sport and exercise. many of the featured schools have accelerated or 3+3 programs where you can track from BS into a DPT. ---  89900
Physicians Assistant ---  A Physician Assistant is a healthcare professional who practices medicine as a part of a healthcare team with collaborating physicians and other providers. In the United States, PA's are nationally certified and state licensed to practice medicine. PAs are concerned with preventing and treating human illness and injury by providing a broad range of health care services with a collaborating physician. Their scope of practice can vary according to jurisdiction and healthcare setting, some will require a license. Accordingly, their work may include conducting physical exams, ordering and interpreting tests, diagnosing illnesses, developing treatment plans, performing procedures, prescribing medications, advising on preventive health care, and assisting in surgery. ---  112200
Pre - Dental ---  As everyone has teeth, there will always be a need for highly qualified dental students. There are three primary levels of dentistry in the college major, and they all can lead to the next level. “Pre-Dental” is designed to give the student all of the science pre-requisites for a successful entry to dental school. Dental Hygienists earn a full BA, and is its own long term career. Dental Assistants typically earn a certification or an Associates degree. ---  159000
Pre - Medical ---  Pre-Medical ("pre-med") gives students the context and training to go on to full fledged Doctors, Dentists, Pharmacists and much more. Biology and Chemistry are two building block majors that you can find at every major college or university and will also lead to medical school. For our purposes in this channel. we feature 12 specific, direct track, "BS to MD programs" from around the US. These are programs designed to take you from a "1st year "Freshman", all the way to a full MD in 7-8 years. The videos we feature, come from "Schools of Health Sciences", found at many major schools. The medical road is tough - but highly lucrative and rewarding. Being a healer is one of lifes greatest callings. ---  208000
Pre - Veterinary Medicine ---  "Pre-Vet" is usually a term for majoring in "Bio or Chem", available at every university, then going to Veterinary School. Animal Science is the more "Hardcore" major for working with large farm animals (Horses, Pigs, Cows Chickens etc.) on your way to Vet School. Animal Science us usually housed within a "College of Agriculture" at large state flagships. Either Path is good! Some universities offer accelerated 7-year tracks called "BS/DVM Tracks". If you love working with animals, but aren’t ready for the full commitment to Veterinary School, "Vet Tech" is usually an AA Degree found at many community colleges, that will license you to work in Vets offices in a high level support capacity. ---  95000
Education ---  Teaching is an amazing profession. Watch the videos below to really help illustrate what we mean here. Then, see our “learn more” section in education to see how vast the education landscape really is. We at CM101 are in the greater world of education, so its not just about teaching. Many schools offer a five-year track whereby you can attain your bachelor’s degree, as well as your teaching credential as well as your masters’ degree. ---  91000
